cidades_cred_rural_pa,credito_rural_pa
ABEL FIGUEIREDO,191139
ÁGUA AZUL DO NORTE,27134742.14
ALENQUER,372726.86
ALTAMIRA,1592614.58
ANAPU,3322570
AURORA DO PARÁ,118353.47
BAIÃO,301849.78
BANNACH,10739115.24
BOM JESUS DO TOCANTINS,5659420.06
BONITO,569193.28
BRAGANÇA,1409966.47
BREJO GRANDE DO ARAGUAIA,5462589.77
BUJARU,119730.55
CAPITÃO POÇO,2102875.95
CASTANHAL,1006046.76
CHAVES,251444.54
CONCEIÇÃO DO ARAGUAIA,10531668.56
CUMARU DO NORTE,19008478.4
CURIONÓPOLIS,21380287
DOM ELISEU,8402524.05
ELDORADO DO CARAJÁS,997397.84
FLORESTA DO ARAGUAIA,4266259.44
GARRAFÃO DO NORTE,2000000
GOIANÉSIA DO PARÁ,3867177.71
IGARAPÉ-AÇU,610648.68
IPIXUNA DO PARÁ,1430350.47
IRITUIA,1982453.88
ITUPIRANGA,5781327.07
JACAREACANGA,2437139.84
JACUNDÁ,2000000
MÃE DO RIO,4212533.25
MARABÁ,7610732.81
MARAPANIM,801250.13
MOCAJUBA,481719.2
MOJU,4139954.41
NOVA ESPERANÇA DO PIRIÁ,1918837.9
NOVA IPIXUNA,1563072.64
NOVO PROGRESSO,2311155.57
NOVO REPARTIMENTO,923752.47
ORIXIMINÁ,354336.82
OURÉM,1044835
OURILÂNDIA DO NORTE,1880026.75
PACAJÁ,486430
PALESTINA DO PARÁ,5905268.43
PARAGOMINAS,38787244.36
PAU D'ARCO,9001892.85
PEIXE-BOI,399999.05
PIÇARRA,8665050.32
PRIMAVERA,452664.32
REDENÇÃO,18477921.21
RIO MARIA,22842203.76
RONDON DO PARÁ,16534750.69
RURÓPOLIS,1073049.16
SANTA CRUZ DO ARARI,514035.21
SANTA LUZIA DO PARÁ,348357.95
SANTA MARIA DAS BARREIRAS,16836405.48
SANTANA DO ARAGUAIA,24982679.21
SANTARÉM,124180
SANTO ANTÔNIO DO TAUÁ,1810000
SÃO DOMINGOS DO ARAGUAIA,150000
SÃO DOMINGOS DO CAPIM,1784885.65
SÃO FÉLIX DO XINGU,14075048.04
SÃO GERALDO DO ARAGUAIA,2805228.5
SÃO JOÃO DO ARAGUAIA,1070604.25
SÃO MIGUEL DO GUAMÁ,2001323.15
SOURE,480655.75
TAILÂNDIA,1706851.7
TOMÉ-AÇU,13011686.09
TRACUATEUA,1660200
TUCUMÃ,1525620.66
ULIANÓPOLIS,2001296.79
URUARÁ,38836738.17
VISEU,177000
VITÓRIA DO XINGU,1071351.61
XINGUARA,22954298.48
